NUM_EP,SCORE,STEP_EP,STEP_GLO,AVG_MAX_Q,AVG_LOSS,LEARING_TIME
1,20,21,21,0,0,0.03 secs
2,57,58,79,0,0,0.08 secs
3,19,20,99,0,0,0.03 secs
4,19,20,119,0,0,0.02 secs
5,9,10,129,0,0,0.03 secs
6,25,26,155,0,0,0.03 secs
7,24,25,180,0,0,0.04 secs
8,11,12,192,0,0,0.02 secs
9,14,15,207,0,0,0.03 secs
10,34,35,242,0,0,0.05 secs
11,70,71,313,0,0,0.09 secs
12,23,24,337,0,0,0.03 secs
13,21,22,359,0,0,0.03 secs
14,15,16,375,0,0,0.02 secs
15,9,10,385,0,0,0.02 secs
16,27,28,413,0,0,0.05 secs
17,21,22,435,0,0,0.03 secs
18,20,21,456,0,0,0.02 secs
19,12,13,469,0,0,0.02 secs
20,10,11,480,0,0,0.44 secs
21,26,27,507,0,0,0.03 secs
22,21,22,529,0,0,0.04 secs
23,32,33,562,0,0,0.03 secs
24,23,24,586,0,0,0.02 secs
25,24,25,611,0,0,0.04 secs
26,16,17,628,0,0,0.02 secs
27,25,26,654,0,0,0.05 secs
28,21,22,676,0,0,0.03 secs
29,8,9,685,0,0,0.01 secs
30,9,10,695,0,0,0.02 secs
31,24,25,720,0,0,0.04 secs
32,14,15,735,0,0,0.02 secs
33,37,38,773,0,0,0.05 secs
34,41,42,815,0,0,0.1 secs
35,24,25,840,0,0,0.05 secs
36,17,18,858,0,0,0.02 secs
37,46,47,905,0,0,0.08 secs
38,60,61,966,0,0,0.11 secs
39,36,37,1003,0.0760993909191441,20.8465341361793,0.61 secs
40,39,40,1043,-0.0476750216446817,177.255324650556,2.72 secs
41,9,10,1053,-0.758720704913139,226.646556535363,0.21 secs
42,9,10,1063,-0.873020438104868,185.606744202971,0.22 secs
43,10,11,1074,-1.47308647632599,251.859253596176,0.26 secs
44,15,16,1090,-1.18191690277308,189.981986800209,0.34 secs
45,11,12,1102,-1.63801418493191,231.284938727816,0.24 secs
46,13,14,1116,-1.86750783451966,214.190066390804,0.3 secs
47,15,16,1132,-2.63526560924947,210.881191950291,0.3 secs
48,16,17,1149,-3.96854898508857,185.764443313374,0.32 secs
49,11,12,1161,-2.21330393354098,204.828277071317,0.22 secs
50,23,24,1185,-2.0090919137001,179.529866941273,0.5 secs
51,76,77,1262,-3.33469292250547,162.340211694891,1.77 secs
52,35,36,1298,-4.56811350252893,140.505397227075,0.67 secs
53,22,23,1321,-5.75770238171453,153.796247772549,0.44 secs
54,63,64,1385,-4.25328372605145,138.733571434394,1.21 secs
55,23,24,1409,-9.20170797904333,115.46803705891,0.47 secs
56,24,25,1434,-8.40267822265625,132.247128372192,0.46 secs
57,25,26,1460,-7.97184440722832,119.606272990887,0.5 secs
58,45,46,1506,-14.6874307964159,98.9047861617544,0.9 secs
59,71,72,1578,-8.11262494325638,87.2286485698488,1.41 secs
60,115,116,1694,-5.95246578701611,88.4966771232671,8.16 secs
61,53,54,1748,-10.675540888751,84.354370518967,1.05 secs
62,93,94,1842,-4.33011799416644,69.1733946889005,2.03 secs
63,51,52,1894,-3.79096624025932,78.854465672603,1.12 secs
64,77,78,1972,-6.75246087404398,76.8098024221567,1.58 secs
65,70,71,2043,-4.75005907491899,71.0344174882056,1.49 secs
66,112,113,2156,-3.291761976164,72.3668536833957,2.42 secs
67,66,67,2223,-3.48650448179957,69.1758839443548,1.45 secs
68,39,40,2263,-4.97505619507283,69.1785057604313,0.86 secs
69,194,195,2458,0.378241319973499,71.2808585545956,4.33 secs
70,93,94,2552,-0.732944658105361,64.41879692103,2.16 secs
71,119,120,2672,-12.2222045687338,54.8031552205483,2.84 secs
72,83,84,2756,-0.807185725442001,56.4048929696991,1.83 secs
73,160,161,2917,-7.92285444476405,58.6229200318733,3.48 secs
74,142,143,3060,-9.06744824797957,45.8087763928033,3.14 secs
75,200,201,3261,-3.08635268282535,44.0416121189274,4.46 secs
76,183,184,3445,-2.86225347674411,33.1371809236057,4.25 secs
77,206,207,3652,-0.451058641184067,24.829745416624,4.67 secs
78,223,224,3876,1.54319796016041,21.6704297609228,5.02 secs
79,316,317,4193,5.48298935108004,18.0224294165379,7.11 secs
80,248,249,4442,3.28033982483618,10.8299909451281,18.34 secs
